Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-126.67,54.4,HOUSTON,1073615,Apr-60,1960,4,11.9,,-1.7,,5.1,,21.7,,-6.7,S,6.4,,10.2,,16.5,,,M,,,,
-126.67,54.4,HOUSTON,1073615,May-60,1960,5,14.4,,-0.4,,7,,19.4,,-6.7,,62,,0,,62,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jun-60,1960,6,17.6,,3.4,,10.5,,25,,-4.4,,46.5,,0,,46.5,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jul-60,1960,7,23.6,,3.7,,13.7,,32.8,,-2.8,,12.7,,0,,12.7,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Aug-60,1960,8,19.8,,3.1,,11.5,,33.3,S,-2.2,,88.1,,0,,88.1,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Sep-60,1960,9,17.9,,-0.4,,8.8,,26.1,,-7.2,,7.9,,0,,7.9,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Oct-60,1960,10,11.3,,0.2,,5.8,,19.4,,-6.1,,46,,0,T,46,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-60,1960,11,1.6,,-7.2,,-2.8,,11.7,,-14.4,,5.1,,35.6,,40.6,,15,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-60,1960,12,-2.8,,-11.4,,-7.1,,4.4,S,-20,S,0,T,32.5,,32.5,,30,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-61,1961,1,-2.7,,-12.3,,-7.5,,6.1,,-31.7,,,M,,M,,M,38,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-61,1961,2,1.4,,-9.4,,-4,,10.6,,-26.7,,7.4,,21.1,,28.4,,25,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-61,1961,3,5.7,,-8.3,,-1.3,,12.2,,-21.7,,1,,2.5,,3.6,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Apr-61,1961,4,11.2,,-3.1,,4.1,,19.4,S,-9.4,,3,,1.3,,4.3,,,M,,,,
-126.67,54.4,HOUSTON,1073615,May-61,1961,5,17.2,,0.8,,9,,25.6,,-5,,,M,2.5,,,M,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jun-61,1961,6,20,,3.9,,12,,27.8,S,-2.8,,29.7,,0,,29.7,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jul-61,1961,7,25.1,,6.9,,16,,33.3,,0.6,,45.5,,0,,45.5,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Aug-61,1961,8,25.4,,,M,,M,31.1,,,M,17.3,,0,,17.3,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-61,1961,9,16.5,,-0.3,,8.1,,25.6,S,-9.4,,40.6,,0,T,40.6,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Oct-61,1961,10,10.1,,-2.2,,4,,21.7,,-12.8,,66.8,,5.1,,71.9,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-61,1961,11,-1,,-9.8,,-5.4,,8.3,,-19.4,,18.5,,26.7,,45.2,,13,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-61,1961,12,-4.7,,-14.3,,-9.5,,4.4,,-27.2,,12.7,,25.4,,38.1,,20,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-62,1962,1,-3.3,,-14.9,,-9.1,,12.2,,-37.8,,59.2,,48.3,,107.4,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Feb-62,1962,2,-1.4,,-13.7,,-7.6,,7.8,,-23.9,,0,T,11.2,,11.2,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Mar-62,1962,3,2.5,,-11.5,,-4.5,,18.3,,-35.6,,0,T,2,,2,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-62,1962,4,9.2,,-2.2,,3.5,,16.7,,-6.1,,12.2,,0,T,12.2,,0,,,,,
-126.67,54.4,HOUSTON,1073615,May-62,1962,5,14.3,,-0.8,,6.8,,22.2,,-6.7,,20.6,,7.6,,28.2,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-62,1962,6,17.2,,3.3,,10.3,,25.6,S,-2.2,,86.1,,0,,86.1,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-62,1962,7,22.9,,4.5,,13.7,,31.1,,-2.2,,38.1,,0,,38.1,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-62,1962,8,19.3,,5.8,,12.6,,25.6,S,-1.1,S,44.7,,0,,44.7,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-62,1962,9,17.8,,0.1,,9,,25,,-6.7,,8.4,,0,,8.4,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-62,1962,10,10,,-0.4,,4.8,,15,S,-7.8,,61,,12.2,,73.2,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-62,1962,11,3.2,,-4.3,,-0.6,,13.9,,-16.7,S,26.2,,38.4,,64.5,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Dec-62,1962,12,-0.2,,-7.4,,-3.8,,8.3,,-19.4,,8.1,,51.6,,59.7,,23,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-63,1963,1,-3.2,,-11.7,,-7.5,,12.2,,-31.7,,3.6,,10.9,,14.5,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Feb-63,1963,2,4.7,,-5.9,,-0.6,,10,,-15,,12.2,,15.7,,27.9,,0,T,,,,
-126.67,54.4,HOUSTON,1073615,Mar-63,1963,3,6.2,,-4.8,,0.7,,9.4,S,-11.1,,0.3,,10.9,,11.2,,0,T,,,,
-126.67,54.4,HOUSTON,1073615,Apr-63,1963,4,10.7,,-2.7,,4,,19.4,,-14.4,,,M,,M,,M,0,,,,,
-126.67,54.4,HOUSTON,1073615,May-63,1963,5,16.4,,-0.9,,7.8,,28.3,S,-6.7,,0,T,7.6,,7.6,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-63,1963,6,,M,,M,,M,26.7,,-3.3,S,,M,0,,,M,0,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-63,1963,7,20.7,,5.3,,13,,28.3,,-0.6,,35.1,,0,,35.1,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-63,1963,8,24,,6.4,,15.2,,28.9,,2.2,S,1.3,,0,,1.3,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-63,1963,9,17.7,,5.5,,11.6,,27.2,,-2.8,,41.9,,0,,41.9,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-63,1963,10,10.6,,0,,5.3,,16.7,,-7.2,,19.8,,0,T,19.8,,0,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-63,1963,11,-1.1,,-8.6,,-4.9,,10,,-33.9,,19.3,,27.2,,46.5,,,M,,,,
-126.67,54.4,HOUSTON,1073615,Dec-63,1963,12,-3.3,,-12.5,,-7.9,,8.9,,-27.8,,,M,,M,,M,,M,,,,
-126.67,54.4,HOUSTON,1073615,Jan-64,1964,1,,,,,,,4.4,S,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-64,1964,2,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-64,1964,3,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-64,1964,4,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,May-64,1964,5,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-64,1964,6,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-64,1964,7,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-64,1964,8,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-64,1964,9,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-64,1964,10,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-64,1964,11,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-64,1964,12,,,,,,,,M,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-65,1965,1,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-65,1965,2,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-65,1965,3,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-65,1965,4,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,May-65,1965,5,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-65,1965,6,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-65,1965,7,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-65,1965,8,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-65,1965,9,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-65,1965,10,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-65,1965,11,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-65,1965,12,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-66,1966,1,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-66,1966,2,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-66,1966,3,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-66,1966,4,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,May-66,1966,5,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-66,1966,6,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-66,1966,7,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-66,1966,8,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-66,1966,9,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-66,1966,10,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-66,1966,11,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-66,1966,12,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-67,1967,1,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-67,1967,2,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-67,1967,3,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-67,1967,4,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,May-67,1967,5,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-67,1967,6,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-67,1967,7,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-67,1967,8,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-67,1967,9,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-67,1967,10,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-67,1967,11,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-67,1967,12,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-68,1968,1,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-68,1968,2,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-68,1968,3,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-68,1968,4,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,May-68,1968,5,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-68,1968,6,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-68,1968,7,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-68,1968,8,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-68,1968,9,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-68,1968,10,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-68,1968,11,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-68,1968,12,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-69,1969,1,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-69,1969,2,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-69,1969,3,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-69,1969,4,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,May-69,1969,5,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-69,1969,6,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-69,1969,7,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-69,1969,8,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-69,1969,9,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-69,1969,10,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-69,1969,11,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-69,1969,12,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-70,1970,1,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-70,1970,2,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-70,1970,3,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-70,1970,4,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,May-70,1970,5,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-70,1970,6,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-70,1970,7,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-70,1970,8,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-70,1970,9,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-70,1970,10,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-70,1970,11,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-70,1970,12,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-71,1971,1,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-71,1971,2,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-71,1971,3,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-71,1971,4,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,May-71,1971,5,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-71,1971,6,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-71,1971,7,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-71,1971,8,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Sep-71,1971,9,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Oct-71,1971,10,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Nov-71,1971,11,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Dec-71,1971,12,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jan-72,1972,1,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Feb-72,1972,2,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Mar-72,1972,3,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Apr-72,1972,4,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,May-72,1972,5,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jun-72,1972,6,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Jul-72,1972,7,,,,,,,,,,,,,,,,,,,,,,
-126.67,54.4,HOUSTON,1073615,Aug-72,1972,8,,,,,,,,,,,,,,,,,,,,,,
